127.0.0.1 - - [31/Jul/2018:11:22:41 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:22:45 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:22:46 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 400 79
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:23:51 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 400 44
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:23:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:24:11 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:24:11 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:24:11 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:25:27 +0530] "OPTIONS /fundoonotes/createnote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:25:27 +0530] "POST /fundoonotes/createnote HTTP/1.1" 201 603
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:25:34 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:26:36 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:26:36 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:28:09 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:29:06 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:29:18 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:29:54 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:29:54 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:29:54 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:29:54 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:30:19 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:36:47 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:37:06 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:37:06 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:37:06 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:37:07 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:37:07 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:37:07 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:37:08 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:37:08 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:37:28 +0530] "OPTIONS /fundoonotes/createnote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:37:28 +0530] "POST /fundoonotes/createnote HTTP/1.1" 201 252
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:37:30 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:38:03 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:47:08 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:47:08 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:49:21 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:11:49:33 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:09:33 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:09:33 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:09:59 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:12:01 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:12:54 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:13:03 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:13:19 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:13:27 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:14:03 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:14:24 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:14:50 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:14:58 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:15:38 +0530] "OPTIONS /fundoonotes/createnote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:15:38 +0530] "POST /fundoonotes/createnote HTTP/1.1" 201 165
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:15:47 +0530] "POST /fundoonotes/createnote HTTP/1.1" 201 165
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:15:50 +0530] "POST /fundoonotes/createnote HTTP/1.1" 201 165
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:19:06 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:19:32 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:19:41 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:19:41 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:20:06 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:20:29 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:20:47 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:21:16 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:21:30 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:21:52 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:22:19 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:23:01 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:23:19 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:23:32 +0530] "POST /fundoonotes/createnote HTTP/1.1" 201 198
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:23:34 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:27:23 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:27:32 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:27:40 +0530] "OPTIONS /fundoonotes/createnote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:12:27:40 +0530] "POST /fundoonotes/createnote HTTP/1.1" 201 198
