127.0.0.1 - - [03/Aug/2018:09:30:34 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:30:35 +0530] "GET /fundoonotes/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:30:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:30:44 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:30:45 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:30:45 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:30:45 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:30:45 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:30:46 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:31:26 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:31:26 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:31:31 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:31:34 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:31:35 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:31:37 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:31:37 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:31:38 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:31:38 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:31:38 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:31:38 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:31:39 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:31:40 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:33:17 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:33:17 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:33:54 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:33:54 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:34:01 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:09:34:01 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:23:42 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:23:42 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:23:42 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:23:42 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:23:42 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:23:42 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:27:02 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:27:02 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:27:02 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:28:26 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:28:26 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:28:52 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:28:52 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:28:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:28:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:29:35 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:29:35 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:29:44 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:29:44 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:30:09 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:30:09 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:30:14 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:30:14 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:30:21 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:30:21 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:31:09 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:31:09 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:31:57 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:31:57 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:32:06 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:32:24 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:32:51 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:32:51 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:32:56 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:32:59 +0530] "OPTIONS /fundoonotes/updatenote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:32:59 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 170
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:32:59 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [03/Aug/2018:11:33:01 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 971
